Time(ms),SensorA0,SensorA1,SensorA2
12511,401,354,592
12526,398,350,589
12542,397,349,586
12622,399,353,591
12637,397,347,587
12651,398,352,585
12732,398,349,587
12746,397,347,585
12760,392,346,583
12841,397,349,586
12855,396,348,586
12870,396,344,583
12950,400,352,589
12965,396,347,586
12980,393,346,585
13060,399,350,587
13076,395,347,585
13090,393,346,583
13171,398,350,588
13185,398,348,583
13200,395,349,582
13281,400,349,586
13296,397,348,583
13310,393,344,580
13391,398,351,588
13406,395,347,584
13420,395,346,587
13502,398,350,587
13517,395,349,585
13531,396,346,582
13612,398,350,587
13627,394,346,582
13643,394,346,581
13724,397,350,588
13739,397,346,584
13754,396,345,580
13835,398,348,586
13850,397,349,586
13866,397,347,583
13947,396,348,587
13962,395,345,582
13977,393,346,581
14058,397,351,587
14073,396,346,583
14088,397,349,581
14169,398,350,588
14184,395,348,583
14199,397,349,584
14280,399,352,587
14295,396,354,587
14310,395,347,582
14391,397,351,587
14406,394,348,584
14421,394,348,583
14502,399,351,589
14516,395,349,587
14531,394,347,586
14612,398,352,588
14627,397,350,583
14642,393,348,587
14723,401,351,589
14738,396,349,586
14753,393,351,583
14834,400,354,592
14849,394,353,590
14865,394,348,586
14946,399,353,592
14961,396,351,586
14977,396,346,584
15058,401,356,594
15073,397,352,589
15088,398,348,585
15169,404,358,600
15184,400,353,593
15199,396,351,592
15280,405,363,602
15295,400,361,601
15310,400,361,600
15391,404,364,605
15406,402,361,601
15421,403,358,598
15502,404,360,603
15518,402,357,602
15533,405,362,597
15614,411,361,605
15629,405,361,604
15643,404,362,603
15724,410,363,607
15740,407,362,606
15755,409,365,604
15836,414,371,613
15851,411,370,612
15866,410,367,612
15947,418,376,620
15962,418,376,615
15977,416,377,614
16057,424,383,622
16072,423,381,619
16088,419,380,612
16169,420,383,621
16184,422,381,616
16198,423,378,609
16279,425,380,619
16294,427,380,616
16309,425,381,617
16390,431,385,627
16406,427,383,624
16421,427,385,624
16502,444,392,635
16517,447,394,630
16533,453,396,630
16614,453,392,638
16629,452,390,636
16644,449,389,633
16726,461,397,643
16741,456,397,639
16756,452,393,641
16837,460,399,645
16852,459,397,637
16867,456,391,637
16948,462,394,640
16964,458,394,641
16979,458,390,639
17060,474,401,650
17076,469,401,649
17091,468,401,644
17172,475,403,650
17187,480,405,648
17202,469,400,647
17283,481,406,653
17298,477,406,651
17313,480,405,649
17394,487,413,656
17409,486,409,657
17424,484,410,654
17505,494,420,664
17521,496,417,661
17536,490,418,660
17617,503,426,669
17632,500,428,670
17647,495,428,667
17727,515,437,679
17742,510,432,675
17758,508,429,671
17839,516,442,683
17854,516,434,677
17869,513,434,678
17950,524,443,689
17965,521,441,685
17980,520,444,682
18061,524,443,691
18076,526,449,688
18091,522,446,689
18172,530,451,694
18187,526,451,693
18203,522,440,685
18284,533,452,693
18299,529,448,688
18314,530,449,688
18395,538,451,700
18410,535,453,698
18425,533,451,697
18506,544,457,704
18521,541,455,701
18537,538,441,696
18618,548,457,708
18632,544,452,700
18648,540,454,703
18728,546,459,713
18743,541,453,704
18758,542,455,702
18839,550,459,719
18854,548,459,710
18870,539,462,706
18951,548,462,721
18966,539,457,713
18981,538,460,710
19062,546,460,722
19078,544,460,720
19093,543,459,715
19174,549,465,727
19189,545,460,717
19204,545,464,720
19284,552,472,738
19300,550,469,734
19315,554,471,741
19396,558,478,743
19411,563,479,751
19426,564,484,753
19507,567,483,756
19522,564,480,753
19537,565,479,752
19618,563,480,754
19633,561,481,751
19648,559,475,749
19729,567,477,751
19745,558,477,749
19759,556,478,745
19841,555,476,746
19856,556,472,745
19871,552,470,740
19953,549,465,734
19968,543,462,731
19983,546,464,728
20064,544,459,730
20079,544,459,726
20093,542,458,725
20174,546,459,724
20189,538,455,723
20204,538,454,720
20285,540,457,720
20300,537,452,715
20314,533,447,715
20395,535,453,718
20409,533,447,715
20424,530,447,708
20505,526,449,710
20520,524,442,708
20535,519,442,706
20616,519,442,705
20630,515,440,700
20645,514,438,701
20725,514,441,697
20740,508,436,703
20755,506,435,697
20836,502,436,697
